file,entries,dup_entries,dup_groups,dup_frac
matched_1591_1600.root,2061,1523,396,0.7389616690926735
matched_1691_1700.root,2049,1505,379,0.7345046364080039
matched_1881_1890.root,1760,1292,325,0.7340909090909091
matched_1491_1500.root,2108,1515,413,0.7186907020872866
matched_1831_1840.root,1995,1428,383,0.7157894736842105
matched_1331_1340.root,1955,1384,368,0.7079283887468031
matched_1341_1350.root,2010,1400,396,0.6965174129353234
matched_1071_1080.root,1935,1344,395,0.6945736434108527
matched_1991_2000.root,2176,1506,428,0.6920955882352942
matched_1851_1860.root,1876,1297,392,0.69136460554371
matched_1401_1410.root,2094,1441,417,0.6881566380133716
matched_1171_1180.root,2103,1446,438,0.6875891583452212
matched_1451_1460.root,2120,1454,442,0.6858490566037736
matched_1541_1550.root,2089,1432,410,0.6854954523695548
matched_1081_1090.root,1927,1317,401,0.683445770627919
matched_1861_1870.root,2101,1435,428,0.6830080913850547
matched_1471_1480.root,1998,1364,381,0.6826826826826827
matched_1911_1920.root,1805,1231,383,0.681994459833795
matched_1021_1030.root,1849,1259,377,0.680908599242834
matched_1971_1980.root,2127,1448,443,0.6807710390220969
matched_1871_1880.root,2093,1422,416,0.6794075489727663
matched_1431_1440.root,2082,1414,411,0.6791546589817483
matched_1521_1530.root,2114,1435,423,0.6788079470198676
matched_1781_1790.root,2014,1367,410,0.6787487586891757
matched_1211_1220.root,2034,1379,398,0.6779744346116028
matched_1031_1040.root,2038,1381,412,0.6776251226692837
matched_1681_1690.root,2017,1366,409,0.6772434308378781
matched_1741_1750.root,2059,1393,418,0.6765420106847985
matched_1561_1570.root,2064,1396,428,0.6763565891472868
matched_1161_1170.root,2055,1389,411,0.6759124087591241
matched_1711_1720.root,2108,1424,414,0.6755218216318786
matched_1981_1990.root,2103,1420,444,0.6752258678078935
matched_1281_1290.root,2067,1395,412,0.6748911465892597
matched_1771_1780.root,2112,1425,427,0.6747159090909091
matched_1581_1590.root,2097,1414,419,0.6742966142107774
matched_1961_1970.root,1647,1109,327,0.6733454766241651
matched_1101_1110.root,1872,1260,369,0.6730769230769231
matched_1461_1470.root,2096,1409,423,0.6722328244274809
matched_1811_1820.root,2088,1403,432,0.6719348659003831
matched_1041_1050.root,1857,1247,364,0.6715131933225633
matched_1731_1740.root,2076,1394,426,0.6714836223506744
matched_1791_1800.root,2088,1401,438,0.6709770114942529
