file,event,cluster_x,cluster_y,n_entries,entry_indices,targets_GeV,n_distinct_targets,vertex_z_min,vertex_z_max
matched_1491_1500.root,967,548.55,-1279.95,23,"2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064","1.087,20.346,1.248,2.867,1.167,10.915,1.803,8.137,2.323,1.039,27.359,11.226,1.141,1.198,2.742,4.095,5.055,2.06,3.154,1.24,1.293,1.474,2.549",23,1694.1,12271.4
matched_1691_1700.root,584,-304.75,-914.25,20,"1188,1189,1190,1191,1192,1193,1194,1195,1196,1197,1198,1199,1200,1201,1202,1203,1204,1205,1206,1207","8.006,6.374,2.319,5.332,1.21,1.345,3.172,1.088,1.555,1.545,3.942,3.083,2.001,2.628,1.026,2.045,3.231,3.146,5.037,1.093",20,339.0,12272.4
matched_1691_1700.root,281,-421.34,63.1,19,"585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603","14.595,1.915,5.483,1.858,1.877,4.618,1.427,1.482,1.863,1.527,4.911,28.236,8.48,3.481,2.959,1.495,2.635,2.513,2.142",19,1661.4,12247.3
matched_1521_1530.root,405,63.59,299.74,17,"895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911","4.577,1.605,9.955,2.474,1.264,34.789,1.086,20.665,1.864,1.264,3.724,5.818,2.825,2.797,1.803,3.36,22.164",16,10359.3,12265.2
matched_1181_1190.root,688,63.59,299.74,17,"1357,1358,1359,1360,1361,1362,1363,1364,1365,1366,1367,1368,1369,1370,1371,1372,1373","1.224,12.02,5.162,1.252,1.628,37.699,2.545,6.002,1.43,2.595,7.878,1.513,3.731,5.181,18.069,1.095,1.274",17,8710.9,12242.3
matched_1831_1840.root,685,1025.24,171.75,17,"1324,1325,1326,1327,1328,1329,1330,1331,1332,1333,1334,1335,1336,1337,1338,1339,1340","5.84,1.961,3.962,21.669,4.96,1.51,3.418,39.736,4.868,1.646,3.411,2.589,1.804,15.136,5.521,12.791,4.862",17,750.4,12218.2
matched_1311_1320.root,70,299.34,63.09,16,"143,144,145,146,148,149,150,152,154,155,156,157,158,159,161,162","1.114,1.139,2.17,4.214,4.562,10.911,1.135,6.496,1.479,3.073,4.908,1.096,1.284,2.334,1.154,10.91",16,1359.5,12170.1
matched_1831_1840.root,982,-2620.85,-60.95,16,"1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987","1.372,1.649,1.296,36.63,1.975,3.34,1.182,1.41,1.084,1.541,1.036,1.013,2.63,2.205,1.535,1.01",16,499.4,12244.9
matched_1721_1730.root,24,-299.34,-63.09,16,"56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71","1.788,2.068,22.047,10.261,1.531,55.407,1.87,5.636,4.76,1.516,8.568,6.053,1.422,2.134,2.563,1.549",16,8577.5,12270.1
matched_1301_1310.root,783,-299.34,-63.09,16,"1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550","30.029,2.048,1.311,66.075,3.078,2.107,1.689,2.334,1.08,1.562,1.574,1.857,12.549,3.285,9.12,4.533",16,9467.4,12260.6
