variant,sigma_eff,15mm,30mm,40mm,60mm,120mm
base,0.0402,0.0526,0.0469,0.0386,0.0343,0.04
zeroed,0.3099,0.4024,0.3875,0.2496,0.2818,0.3133
permuted,0.3975,0.3013,0.3578,0.2988,0.3879,0.4467
shift_0.5sd,0.0577,0.0874,0.0998,0.0489,0.0398,0.0448
shift_1sd,0.1235,0.1696,0.1654,0.1127,0.082,0.0876
shift_2sd,0.1422,0.2359,0.1935,0.119,0.1125,0.1288
coarsen_0.25sd,0.0445,0.0616,0.0637,0.0409,0.0361,0.0405
coarsen_0.5sd,0.0479,0.0644,0.0646,0.0436,0.0388,0.0492
coarsen_1sd,0.0949,0.1221,0.1577,0.0797,0.0698,0.0725
coarsen_2sd,0.0706,0.0989,0.1027,0.0666,0.0511,0.0526
